City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
276,Nuevo Progreso,MX,23.1667,-97.95,51.6,40,100,8.99,overcast clouds
277,Faanui,PF,-16.4833,-151.75,80.26,75,22,13.96,few clouds
278,Caravelas,BR,-17.7125,-39.2481,77.04,87,100,6.91,overcast clouds
279,Sri Aman,MY,1.2376,111.4621,72.55,99,100,0.36,overcast clouds
280,Nouadhibou,MR,20.931,-17.0347,67.89,66,2,11.34,clear sky
281,Kassala,SD,15.451,36.4,76.53,20,0,22.46,clear sky
282,Kamaishi,JP,39.2667,141.8833,29.26,52,98,5.17,overcast clouds
283,Aves,PT,41.3703,-8.4101,53.11,84,91,2.77,overcast clouds
284,Kurumkan,RU,54.3,110.3,-5.73,95,100,3.02,overcast clouds
285,La Ciotat,FR,43.1748,5.6045,55.81,68,79,19.01,broken clouds
286,Pangnirtung,CA,66.1451,-65.7125,-16.6,69,75,14.97,broken clouds
287,Sarkand,KZ,45.41,79.9186,16.9,67,67,7.16,broken clouds
288,Ito,JP,34.9667,139.0833,35.69,68,0,1.01,clear sky
289,Fortuna,US,40.5982,-124.1573,49.86,91,100,0.0,overcast clouds
290,Honiara,SB,-9.4333,159.95,78.15,88,100,3.4,overcast clouds
291,Puerto Cabezas,NI,14.0351,-83.3888,84.24,56,6,8.7,clear sky
292,Yulara,AU,-25.2406,130.9889,62.44,63,0,8.05,clear sky
293,Jizan,SA,17.3333,42.6667,79.99,70,9,6.26,clear sky
294,Bathsheba,BB,13.2167,-59.5167,83.01,61,40,14.97,scattered clouds
295,Trairi,BR,-3.2778,-39.2689,82.31,73,100,11.27,very heavy rain
296,Vila,PT,42.0304,-8.1588,44.33,83,100,3.42,overcast clouds
297,Kaitangata,NZ,-46.2817,169.8464,51.93,68,60,4.74,broken clouds
298,Toora-Khem,RU,52.4675,96.11,-20.27,100,92,1.12,overcast clouds
299,Fairbanks,US,64.8378,-147.7164,3.09,67,100,3.29,overcast clouds
300,Broome,US,42.2506,-75.833,23.02,76,100,1.99,light snow
301,Upernavik,GL,72.7868,-56.1549,-0.98,100,79,9.95,broken clouds
302,Kitimat,CA,54.0524,-128.6534,39.9,30,100,5.88,moderate rain
303,Rawson,AR,-43.3002,-65.1023,64.69,68,40,26.46,scattered clouds
304,Lukovetskiy,RU,64.2956,41.9211,-7.62,100,100,3.09,overcast clouds
305,Ancud,CL,-41.8697,-73.8203,70.23,69,60,9.86,broken clouds
306,Ylivieska,FI,64.0833,24.55,26.31,93,100,17.4,light snow
307,Ostrovnoy,RU,68.0531,39.5131,5.61,96,100,11.74,overcast clouds
308,Nikolskoye,RU,59.7035,30.7861,19.29,95,72,8.21,broken clouds
309,Pisco,PE,-13.7,-76.2167,75.25,64,0,11.5,clear sky
310,Port Hardy,CA,50.6996,-127.4199,45.75,95,100,10.25,moderate rain
311,Sovetskiy,RU,61.3614,63.5842,4.17,97,100,2.57,overcast clouds
312,Japura,ID,-0.3167,102.35,72.21,98,66,0.63,broken clouds
313,Drayton Valley,CA,53.2168,-114.9854,24.78,86,100,6.26,overcast clouds
314,Champawat,IN,29.3333,80.1,34.03,92,65,3.96,broken clouds
315,Porto Novo,BJ,6.4965,2.6036,80.37,73,5,7.92,clear sky
316,Berbera,SO,10.4396,45.0143,76.08,59,0,2.8,clear sky
317,Oistins,BB,13.0667,-59.5333,82.49,61,40,14.97,scattered clouds
318,Moussoro,TD,13.6408,16.4901,69.19,13,3,16.6,clear sky
319,Tual,ID,-5.6667,132.75,83.62,75,100,16.28,overcast clouds
320,Saint-Augustin,CA,51.226,-58.6502,1.02,75,100,10.02,overcast clouds
321,Krasnoselkup,RU,65.7,82.4667,14.16,96,100,6.33,light snow
322,Anadyr,RU,64.75,177.4833,-11.16,79,1,6.73,clear sky
