City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
260,Fort Nelson,CA,2022-02-02 22:19:39,58.8053,-122.7002,-6.21,77,100,6.91
261,Gizo,SB,2022-02-02 22:23:59,-8.103,156.8419,82.49,78,100,15.26
262,Saint Andrews,US,2022-02-02 22:24:00,34.0454,-81.1293,63.99,51,75,10.36
263,Weihai,CN,2022-02-02 22:24:00,37.5017,122.1136,30.54,48,1,4.41
264,Bowen,AU,2022-02-02 22:24:00,-20.0167,148.2333,82.62,77,100,2.21
265,Pareora,NZ,2022-02-02 22:24:01,-44.4871,171.2132,65.17,97,99,16.91
266,Thompson,CA,2022-02-02 22:24:01,55.7435,-97.8558,-9.24,59,20,12.66
267,Kulachi,PK,2022-02-02 22:24:01,31.9286,70.4592,56.1,54,32,8.19
268,Deputatskiy,RU,2022-02-02 22:24:02,69.3,139.9,-24.23,93,23,6.13
269,Simav,TR,2022-02-02 22:24:02,39.0882,28.9777,38.46,97,100,10.07
270,Verkhnechusovskiye Gorodki,RU,2022-02-02 22:24:02,58.1671,57.1086,26.35,94,100,7.09
271,Kochi,IN,2022-02-02 22:21:38,9.9399,76.2602,76.91,94,25,6.51
272,Ilo,PE,2022-02-02 22:24:03,-17.6394,-71.3375,71.94,77,4,8.9
273,Kavieng,PG,2022-02-02 22:22:12,-2.5744,150.7967,78.42,84,100,13.67
274,Baker City,US,2022-02-02 22:24:03,44.7749,-117.8344,28.81,59,100,0.0
275,Riyadh,SA,2022-02-02 22:23:49,24.6877,46.7219,51.94,36,0,5.73
276,Caluquembe,AO,2022-02-02 22:24:04,-13.7833,14.6833,60.37,67,41,6.6
277,Abha,SA,2022-02-02 22:25:04,18.2164,42.5053,53.42,54,0,0.0
278,Diffa,NE,2022-02-02 22:23:34,13.3154,12.6113,65.19,15,82,8.61
279,Brae,GB,2022-02-02 22:25:04,60.3964,-1.353,46.31,90,100,9.08
280,Nurobod,UZ,2022-02-02 22:25:05,40.9056,69.8023,31.05,77,68,5.3
281,Porbandar,IN,2022-02-02 22:25:05,21.6422,69.6093,72.0,80,4,14.0
282,Grindavik,IS,2022-02-02 22:25:05,63.8424,-22.4338,25.27,63,75,3.44
283,Sayyan,YE,2022-02-02 22:25:06,15.1718,44.3244,50.92,58,73,4.38
284,Zhezkazgan,KZ,2022-02-02 22:25:06,47.8043,67.7144,1.71,90,11,5.97
285,Turbat,PK,2022-02-02 22:25:06,26.0023,63.044,62.8,18,0,34.81
286,Kaeo,NZ,2022-02-02 22:25:07,-35.1,173.7833,74.32,84,100,11.61
287,Lincoln,US,2022-02-02 22:24:52,40.8,-96.667,18.84,38,75,3.0
288,Kongolo,CD,2022-02-02 22:25:07,-5.3833,27.0,69.35,95,100,2.19
289,Labrea,BR,2022-02-02 22:25:07,-7.2586,-64.7981,74.35,99,100,2.19
290,Bridlington,GB,2022-02-02 22:25:08,54.0831,-0.1919,48.88,89,100,15.93
291,Waterfoot,GB,2022-02-02 22:25:08,53.6929,-2.2525,47.55,94,100,1.99
292,Ribeira Grande,PT,2022-02-02 22:25:08,38.5167,-28.7,59.7,74,8,9.42
